Leeftijd,Marges,Perioden,Wijken.en.buurten,Regioaanduiding.Gemeentenaam..naam.,Regioaanduiding.Soort.regio..omschrijving.,Regioaanduiding.Codering..code.,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
18 jaar of ouder,Waarde,2016,Nederland,Nederland                               ,Land      ,NL01                ,    75.4,    51.4,    14.2,    21.7,    40.3,    81.5,    10.2,     7.3,    33.8,       .,       .,     6.7,    10.1
18 jaar of ouder,Waarde,2016,Krimpenerwaard,Krimpenerwaard                          ,Gemeente  ,GM1931              ,    78.7,    47.3,    14.4,    18.0,    44.3,    82.2,     8.9,     6.6,    32.1,       .,       .,     5.1,     8.0
18 jaar of ouder,Waarde,2016,Wijk 00 Lekkerkerk,Krimpenerwaard                          ,Wijk      ,WK193100            ,    78.4,    46.0,    14.7,    18.5,    45.1,    83.1,     9.1,     6.4,    32.4,       .,       .,     5.0,     8.2
18 jaar of ouder,Waarde,2016,Tiendhoek,Krimpenerwaard                          ,Buurt     ,BU19310000          ,    81.2,    48.7,    14.0,    19.3,    42.2,    85.0,     9.3,     6.3,    30.0,       .,       .,     5.1,     7.6
18 jaar of ouder,Waarde,2016,Schuwacht,Krimpenerwaard                          ,Buurt     ,BU19310001          ,    81.9,    46.9,    13.1,    15.5,    41.9,    85.1,     9.6,     7.0,    30.0,       .,       .,     3.3,     5.5
18 jaar of ouder,Waarde,2016,Opperduit,Krimpenerwaard                          ,Buurt     ,BU19310002          ,    83.8,    46.2,    12.5,    15.4,    42.1,    86.1,     9.4,     6.5,    27.1,       .,       .,     3.2,     5.4
18 jaar of ouder,Waarde,2016,Tiendweg-West,Krimpenerwaard                          ,Buurt     ,BU19310003          ,    82.9,    47.7,    10.7,    13.8,    43.4,    85.6,     9.2,     7.0,    28.7,       .,       .,     3.1,     5.1
18 jaar of ouder,Waarde,2016,Lekkerkerk-Oost,Krimpenerwaard                          ,Buurt     ,BU19310004          ,    80.0,    47.9,    15.4,    20.6,    43.7,    83.9,     9.0,     6.3,    30.9,       .,       .,     5.2,     8.1
18 jaar of ouder,Waarde,2016,Prinsessenbuurt,Krimpenerwaard                          ,Buurt     ,BU19310005          ,    76.6,    45.4,    14.2,    17.3,    47.2,    81.7,     9.1,     6.1,    33.9,       .,       .,     5.3,     9.3
18 jaar of ouder,Waarde,2016,Koninginnenbuurt,Krimpenerwaard                          ,Buurt     ,BU19310006          ,    74.4,    43.5,    16.0,    19.0,    47.2,    81.6,     9.0,     6.3,    36.2,       .,       .,     5.7,     9.5
18 jaar of ouder,Waarde,2016,Wibautsraat en Lorentzweg,Krimpenerwaard                          ,Buurt     ,BU19310007          ,    71.4,    41.9,    17.0,    22.1,    51.1,    77.2,     9.4,     6.6,    36.9,       .,       .,     7.6,    11.6
18 jaar of ouder,Waarde,2016,Molenwerf en omstreken,Krimpenerwaard                          ,Buurt     ,BU19310008          ,    74.5,    43.2,    15.9,    16.8,    48.9,    81.0,     8.5,     6.4,    35.5,       .,       .,     5.0,     8.4
18 jaar of ouder,Waarde,2016,Voorstraat en Centrum,Krimpenerwaard                          ,Buurt     ,BU19310009          ,    80.1,    47.6,    13.6,    16.4,    43.4,    85.2,     9.1,     6.7,    32.8,       .,       .,     4.1,     7.4
18 jaar of ouder,Waarde,2016,Industrieterrein,Krimpenerwaard                          ,Buurt     ,BU19310010          ,    80.2,    45.8,    12.4,    19.9,    45.6,    82.5,    11.2,     6.7,    27.3,       .,       .,     4.5,     7.3
18 jaar of ouder,Waarde,2016,Verspr. huizen Lekkerkerk,Krimpenerwaard                          ,Buurt     ,BU19310011          ,    82.6,    44.8,    12.1,    14.9,    49.1,    82.8,     7.9,     5.7,    26.7,       .,       .,     3.7,     5.7
18 jaar of ouder,Waarde,2016,Wijk 01 Krimpen aan de Lek,Krimpenerwaard                          ,Wijk      ,WK193101            ,    77.6,    45.5,    15.1,    19.1,    45.3,    81.7,     8.4,     6.0,    32.7,       .,       .,     5.4,     8.7
18 jaar of ouder,Waarde,2016,Hoofdstraat,Krimpenerwaard                          ,Buurt     ,BU19310100          ,    75.2,    43.8,    15.7,    20.7,    46.6,    80.1,     8.4,     5.7,    34.3,       .,       .,     6.2,     9.7
18 jaar of ouder,Waarde,2016,Binnen Krimpen,Krimpenerwaard                          ,Buurt     ,BU19310101          ,    76.0,    44.2,    15.7,    18.7,    47.8,    79.5,     8.1,     5.8,    34.0,       .,       .,     5.9,     9.2
