Regioaanduiding.Codering..code.,Perioden,Wijken.en.buurten.x,Regioaanduiding.Gemeentenaam..naam..x,Regioaanduiding.Soort.regio..omschrijving..x,Regioaanduiding.Indelingswijziging.wijken.en.buurten..code.,Horeca.Cafés.en.dergelijke.Afstand.tot.café.e.d...km.,Leeftijd,Marges,Wijken.en.buurten.y,Regioaanduiding.Gemeentenaam..naam..y,Regioaanduiding.Soort.regio..omschrijving..y,Ervaren.gezondheid..goed.zeer.goed.....,Bewegen.Voldoet.aan.beweegrichtlijn....,Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....,Roker....,Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....,Alcoholgebruik.Drinker....,Alcoholgebruik.Zware.drinker....,Alcoholgebruik.Overmatige.drinker....,Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....,Psychische.klachten....,Veerkracht..Zeer..lage.veerkracht....,Hoog.risico.op.angst.of.depressie....,Eenzaamheid.Ernstig.zeer.ernstig.eenzaam....
BU05990110,2016,Stadsdriehoek,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Stadsdriehoek,Rotterdam,Buurt,79.4,58.6,9.7,27.6,32.2,85.3,13.4,7.8,28.0,.,.,6.8,11.1
BU05990110,2020,Stadsdriehoek,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Stadsdriehoek,Rotterdam,Buurt,82.3,51.9,10.4,21.1,32.7,83.7,13.0,8.0,26.4,.,.,7.9,13.5
BU05990110,2022,Stadsdriehoek,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Stadsdriehoek,Rotterdam,Buurt,71.7,53.6,10.5,22.9,32.6,83.2,14.5,9.2,28.4,28.9,18.6,13.3,19.0
BU05990111,2016,Oude Westen,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Oude Westen,Rotterdam,Buurt,62.2,50.5,16.4,29.4,54.0,62.0,10.1,5.8,38.4,.,.,14.3,17.4
BU05990111,2020,Oude Westen,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Oude Westen,Rotterdam,Buurt,70.4,46.8,16.3,22.5,53.0,62.2,9.9,5.6,33.8,.,.,12.2,18.8
BU05990111,2022,Oude Westen,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Oude Westen,Rotterdam,Buurt,58.0,49.0,16.8,24.8,52.1,62.9,10.8,6.6,36.8,35.8,27.1,20.4,24.8
BU05990112,2016,Cool,Rotterdam,Buurt,1,"0,1",18 jaar of ouder,Waarde,Cool,Rotterdam,Buurt,75.1,56.4,10.8,29.3,38.0,79.6,12.4,7.0,28.8,.,.,8.7,13.0
BU05990112,2020,Cool,Rotterdam,Buurt,3,"0,1",18 jaar of ouder,Waarde,Cool,Rotterdam,Buurt,80.6,50.6,11.4,21.7,36.1,80.6,12.4,6.9,26.7,.,.,9.0,14.8
BU05990112,2022,Cool,Rotterdam,Buurt,1,0.2,18 jaar of ouder,Waarde,Cool,Rotterdam,Buurt,69.7,53.6,11.5,24.3,35.4,80.0,13.5,8.2,29.1,30.4,19.6,14.6,20.4
BU05990113,2016,Cs Kwartier,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Cs Kwartier,Rotterdam,Buurt,80.4,59.0,9.2,27.2,34.0,84.8,12.8,7.7,26.2,.,.,6.7,11.2
BU05990113,2020,Cs Kwartier,Rotterdam,Buurt,3,"0,2",18 jaar of ouder,Waarde,Cs Kwartier,Rotterdam,Buurt,84.9,53.3,9.9,19.8,36.4,84.6,11.9,7.4,24.0,.,.,7.1,14.2
BU05990113,2022,Cs Kwartier,Rotterdam,Buurt,1,0.3,18 jaar of ouder,Waarde,Cs Kwartier,Rotterdam,Buurt,73.1,54.6,10.4,22.1,33.5,83.8,12.5,8.4,27.4,27.4,17.4,13.4,20.0
BU05990118,2016,Nieuwe Werk,Rotterdam,Buurt,3,"0,3",18 jaar of ouder,Waarde,Nieuwe Werk,Rotterdam,Buurt,83.8,58.9,9.5,24.0,29.6,90.4,11.9,9.3,25.9,.,.,5.5,9.5
BU05990118,2020,Nieuwe Werk,Rotterdam,Buurt,3,"0,3",18 jaar of ouder,Waarde,Nieuwe Werk,Rotterdam,Buurt,85.7,51.1,9.6,17.5,29.0,89.2,10.7,6.8,24.5,.,.,6.8,11.1
BU05990118,2022,Nieuwe Werk,Rotterdam,Buurt,3,0.2,18 jaar of ouder,Waarde,Nieuwe Werk,Rotterdam,Buurt,75.6,51.6,11.2,20.0,32.7,86.0,11.6,7.9,26.9,25.6,15.8,12.0,15.8
BU05990119,2016,Dijkzigt,Rotterdam,Buurt,1,"0,4",18 jaar of ouder,Waarde,Dijkzigt,Rotterdam,Buurt,83.2,64.9,8.5,29.1,26.5,89.8,14.7,7.7,22.6,.,.,7.9,10.7
BU05990119,2020,Dijkzigt,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Dijkzigt,Rotterdam,Buurt,84.7,55.0,11.3,23.9,27.3,88.2,15.0,7.6,21.0,.,.,10.7,13.7
BU05990119,2022,Dijkzigt,Rotterdam,Buurt,3,0.6,18 jaar of ouder,Waarde,Dijkzigt,Rotterdam,Buurt,74.5,54.4,10.3,22.2,27.2,87.3,17.3,9.4,25.8,29.6,17.4,14.5,15.7
BU05990320,2016,Delfshaven,Rotterdam,Buurt,1,"0,3",18 jaar of ouder,Waarde,Delfshaven,Rotterdam,Buurt,70.1,55.3,14.4,31.6,42.7,72.7,11.9,6.6,32.9,.,.,12.3,15.3
BU05990320,2020,Delfshaven,Rotterdam,Buurt,1,"0,2",18 jaar of ouder,Waarde,Delfshaven,Rotterdam,Buurt,76.5,50.5,15.2,24.6,43.4,73.8,10.6,5.8,28.1,.,.,11.6,16.7
