Wijken.en.buurten,Horeca.Cafés.en.dergelijke.Afstand.tot.café.e.d...km.
Krimpenerwaard,1.1
Wijk 00 Lekkerkerk,0.8
Tiendhoek,0.8
Schuwacht,1.6
Opperduit,2.4
Tiendweg-West,1
Lekkerkerk-Oost,0.6
Prinsessenbuurt,0.3
Koninginnenbuurt,0.3
Wibautsraat en Lorentzweg,0.3
Molenwerf en omstreken,0.8
Voorstraat en Centrum,0.4
Industrieterrein,0.6
Verspr. huizen Lekkerkerk,2.4
Wijk 01 Krimpen aan de Lek,0.7
Hoofdstraat,0.6
Binnen Krimpen,0.6
Beroepenbuurt,0.2
Krimpen-Oost,1.2
Zaag,2
Tiendweg Noord,1.1
Krimpen Centrum,0.3
Industrieterrein Krimpen,0.1
Lekdijk,1.2
Verspr. huizen Krimpen aan de Lek,1.9
Wijk 02 Ouderkerk aan den IJssel,1.4
Ouderkerk aan den IJssel,0.6
Verspr. huizen Ouderkerk Noord,3.5
Verspr. huizen Ouderkerk Oost,2.6
Wijk 03 Gouderak,1
Gouderak,1
Wijk 04 Bergambacht,0.9
Bergambacht-Dorp,0.9
Kadijk en Kadijkselaan,1.6
Uitbreiding Dorp,0.5
Benedenberg en Zuidbroek,3.3
Tussenlanen,1.8
Bovenberg westelijk van de Fransekade,2.4
Wijk 05 Bergstoep,1.4
Bergstoep,1.2
Lekdijk-West en Provinciale weg (ged.),3.6
Lekdijk-Oost en Provinciale weg (ged.),1.1
Bovenstad,1.1
Provinciale weg (ged.) De Hem en Hogedij,1.8
Wijk 06 Ammerstol,0.4
Ammerstol,0.4
Wijk 07 Berkenwoude,5.8
Berkenwoude,5.6
Achterbroek,6.8
Wijk 08 Haastrecht,0.9
Haastrecht-Dorpskern,0.4
Boven-Haastrecht,2.4
Beneden-Haastrecht,2
Rozendaal,2.6
Stolwijkersluis (ged.),1.7
Hofkamp,0.8
Agterpoort,0.7
Stein,0.4
Verspr. huizen Haastrecht Noord,1
Verspr. huizen Haastrecht Zuid,2.1
Bergvliet,1
Wijk 10 Stolwijk,1.1
Stolwijk,0.6
Bovenkerk,0.9
Benedenkerk,1
Benedenheul,3.1
Goudseweg,1.6
Het Beijersche,4.1
Koolwijk,2.2
Schoonouwen,2.5
Bilwijk,1.7
Wijk 11 Vlist,1.2
Vlist,1.3
Bonrepas,0.8
Wijk 12 Schoonhoven,0.8
Schoonhoven-Oude Stad,0.3
Schoonhoven-Noord,0.7
Schoonhoven-West,1.1
Zevender,1
Willige-Langerak,1.1
"Vlist, Bovenberg en Lekdijk",1.1
Rotterdam,0.8
Rotterdam Centrum,0.3
Stadsdriehoek,0.2
Oude Westen,0.3
Cool,0.2
Cs Kwartier,0.3
Nieuwe Werk,0.2
Dijkzigt,0.6
Delfshaven,0.3
Delfshaven,0.3
Bospolder,0.2
Tussendijken,0.3
Spangen,0.4
Nieuwe Westen,0.3
Middelland,0.2
Oud Mathenesse,0.3
Witte Dorp,0.4
Schiemond,0.8
Overschie,0.8
Kleinpolder,0.4
Noord Kethel,2.9
Schieveen,3.4
Zestienhoven,2
Overschie,0.5
Landzicht,0.5
Noord,0.3
Agniesebuurt,0.2
Provenierswijk,0.3
Bergpolder,0.4
Blijdorp,0.6
Liskwartier,0.3
Oude Noorden,0.2
Blijdorpsepolder,1.1
Hillegersberg-Schiebroek,1.6
Schiebroek,1.6
Hillegersberg Zuid,0.3
Hillegersberg Noord,1.8
Terbregge,2.8
Molenlaankwartier,2.3
Kralingen-Crooswijk,0.4
Rubroek,0.4
Nieuw Crooswijk,0.3
Oud Crooswijk,0.2
Kralingen West,0.3
Kralingen Oost,0.6
Kralingse Bos,1.8
De Esch,0.7
Struisenburg,0.7
Feijenoord,0.4
Kop van Zuid,0.4
Kop van Zuid - Entrepot,0.5
Vreewijk,0.5
Bloemhof,0.3
Hillesluis,0.3
Katendrecht,0.3
Afrikaanderwijk,0.3
Feijenoord,0.4
Noordereiland,0.3
IJsselmonde,1.1
Oud IJsselmonde,0.8
Lombardijen,1.6
Groot IJsselmonde,1.2
Beverwaard,0.7
Pernis,5.5
Pernis,5.5
Prins Alexander,1.4
's-Gravenland,2.4
Kralingseveer,0.4
Prinsenland,1.4
Het Lage Land,0.5
Ommoord,1.4
Zevenkamp,0.7
Oosterflank,1.3
Nesselande,2.7
Charlois,0.7
Charlois Zuidrand,1.3
Tarwewijk,0.4
Carnisse,0.3
Zuidwijk,1.3
Oud Charlois,0.5
Wielewaal,1.2
Zuidplein,0.3
Pendrecht,0.5
Zuiderpark,0.6
Heijplaat,4.7
Hoogvliet,0.9
Hoogvliet Noord,0.9
Hoogvliet Zuid,0.9
Hoek van Holland,0.9
Strand en Duin,1.6
Dorp,0.6
Rijnpoort,2.3
Spaanse Polder,0.9
Spaanse Polder,0.9
Nieuw Mathenesse,0.1
Nieuw Mathenesse,0.1
Waalhaven-Eemhaven,3.7
Waalhaven,2.4
Eemhaven,4.6
Waalhaven Zuid,NA
Vondelingenplaat,NA
Vondelingenplaat,NA
Botlek-Europoort-Maasvlakte,12.2
Botlek,NA
Europoort,NA
Maasvlakte,NA
Rotterdam-Noord-West,NA
Bedrijvenpark Noord-West,NA
Rivium,NA
Rivium,NA
Rozenburg,0.8
Rozenburg,0.8
Noordzeeweg,NA
