"","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Regioaanduiding.Indelingswijziging.wijken.en.buurten..code.","Horeca.Cafés.en.dergelijke.Afstand.tot.café.e.d...km."
"1","Krimpenerwaard","Krimpenerwaard                          ","Gemeente  ","GM1931    ",".","1,2"
"2","Wijk 00 Lekkerkerk","Krimpenerwaard                          ","Wijk      ","WK193100  ","1","0,7"
"3","Tiendhoek","Krimpenerwaard                          ","Buurt     ","BU19310000","1","0,8"
"4","Schuwacht","Krimpenerwaard                          ","Buurt     ","BU19310001","1","1,5"
"5","Opperduit","Krimpenerwaard                          ","Buurt     ","BU19310002","1","2,3"
"6","Tiendweg-West","Krimpenerwaard                          ","Buurt     ","BU19310003","1","1,1"
"7","Lekkerkerk-Oost","Krimpenerwaard                          ","Buurt     ","BU19310004","1","0,6"
"8","Prinsessenbuurt","Krimpenerwaard                          ","Buurt     ","BU19310005","1","0,3"
"9","Koninginnenbuurt","Krimpenerwaard                          ","Buurt     ","BU19310006","1","0,4"
"10","Wibautsraat en Lorentzweg","Krimpenerwaard                          ","Buurt     ","BU19310007","1","0,3"
"11","Molenwerf en omstreken","Krimpenerwaard                          ","Buurt     ","BU19310008","1","0,6"
"12","Voorstraat en Centrum","Krimpenerwaard                          ","Buurt     ","BU19310009","1","0,3"
"13","Industrieterrein","Krimpenerwaard                          ","Buurt     ","BU19310010","1","0,6"
"14","Verspr. huizen Lekkerkerk","Krimpenerwaard                          ","Buurt     ","BU19310011","1","2,3"
"15","Wijk 01 Krimpen aan de Lek","Krimpenerwaard                          ","Wijk      ","WK193101  ","1","0,7"
"16","Hoofdstraat","Krimpenerwaard                          ","Buurt     ","BU19310100","1","0,5"
"17","Binnen Krimpen","Krimpenerwaard                          ","Buurt     ","BU19310101","1","0,6"
"18","Beroepenbuurt","Krimpenerwaard                          ","Buurt     ","BU19310102","1","0,2"
"19","Krimpen-Oost","Krimpenerwaard                          ","Buurt     ","BU19310103","1","1,2"
"20","Zaag","Krimpenerwaard                          ","Buurt     ","BU19310104","1","2"
"21","Tiendweg Noord","Krimpenerwaard                          ","Buurt     ","BU19310105","1","1,1"
"22","Krimpen Centrum","Krimpenerwaard                          ","Buurt     ","BU19310106","1","0,3"
"23","Industrieterrein Krimpen","Krimpenerwaard                          ","Buurt     ","BU19310107","1","0,2"
"24","Lekdijk","Krimpenerwaard                          ","Buurt     ","BU19310108","1","1,2"
"25","Verspr. huizen Krimpen aan de Lek","Krimpenerwaard                          ","Buurt     ","BU19310109","1","1,9"
"26","Wijk 02 Ouderkerk aan den IJssel","Krimpenerwaard                          ","Wijk      ","WK193102  ","1","1,5"
"27","Ouderkerk aan den IJssel","Krimpenerwaard                          ","Buurt     ","BU19310200","1","0,6"
"28","Verspr. huizen Ouderkerk Noord","Krimpenerwaard                          ","Buurt     ","BU19310208","1","4,1"
